שם קובץ,ID,נתיב,סוג (MIME),גודל (MB),תאריך יצירה,תאריך עדכון אחרון,בעלים,קישור
024 טובה חכמה מכסף.mp3,1yYCSwxViycLG8AMpoJ2ZwYXCmbEg49W4,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,37.947,6/17/2026 9:44:03,8/20/2020 22:59:48,yadtamar613@gmail.com,https://drive.google.com/file/d/1yYCSwxViycLG8AMpoJ2ZwYXCmbEg49W4/view?usp=drivesdk
025 הלל הנשיא ומדת הסבלנות.mp3,1pKBq27rhnLXJLx7ANW0ql2ZNkWdQS648,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.337,6/17/2026 9:44:09,8/20/2020 22:59:52,yadtamar613@gmail.com,https://drive.google.com/file/d/1pKBq27rhnLXJLx7ANW0ql2ZNkWdQS648/view?usp=drivesdk
026 השמח בחלקו.mp3,15rTIFwWDn0gTw6cV7Au8VUrUvXJk_esf,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,39.712,6/17/2026 9:44:14,8/20/2020 22:59:56,yadtamar613@gmail.com,https://drive.google.com/file/d/15rTIFwWDn0gTw6cV7Au8VUrUvXJk_esf/view?usp=drivesdk
027 גם זו לטובה.mp3,1cYN9k1wC7_Trop2pBc0jQE6l6cz5DS7H,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.437,6/17/2026 9:44:21,8/20/2020 22:59:58,yadtamar613@gmail.com,https://drive.google.com/file/d/1cYN9k1wC7_Trop2pBc0jQE6l6cz5DS7H/view?usp=drivesdk
028 כבוד אב ואם א.mp3,124h7m0EdUL07tUKKYGK6no-hpG-jPfKL,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.399,6/17/2026 9:44:26,8/20/2020 23:00:00,yadtamar613@gmail.com,https://drive.google.com/file/d/124h7m0EdUL07tUKKYGK6no-hpG-jPfKL/view?usp=drivesdk
029 כבוד אב ואם ב.mp3,1Kvpxf_s3vXhYyzJrzuGQAMLew8R8jfxj,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,42.439,6/17/2026 9:44:32,8/20/2020 23:00:04,yadtamar613@gmail.com,https://drive.google.com/file/d/1Kvpxf_s3vXhYyzJrzuGQAMLew8R8jfxj/view?usp=drivesdk
030 שבת קודש.mp3,1PPgYZm07b6X3M2RMdGgxCNZVzHgWFXux,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.687,6/17/2026 9:44:37,8/20/2020 23:00:06,yadtamar613@gmail.com,https://drive.google.com/file/d/1PPgYZm07b6X3M2RMdGgxCNZVzHgWFXux/view?usp=drivesdk
031 אליהו הנביא אוהב ישראל.mp3,1_9tXg71SrkCc1sb-SOPOZZKaJZD188qf,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,42.047,6/17/2026 9:44:42,8/20/2020 23:00:10,yadtamar613@gmail.com,https://drive.google.com/file/d/1_9tXg71SrkCc1sb-SOPOZZKaJZD188qf/view?usp=drivesdk
032 לא תגנוב - הסוחר החכם.mp3,1Pyt2kunQxYbEl0ycwlPay31RVsf3kz8F,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.955,6/17/2026 9:44:48,8/20/2020 23:00:12,yadtamar613@gmail.com,https://drive.google.com/file/d/1Pyt2kunQxYbEl0ycwlPay31RVsf3kz8F/view?usp=drivesdk
033 רבי ואנטונינוס קיסר א.mp3,1_hIOnVWIoNl6wnpL13P-u4Cx_4_gHwJK,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.733,6/17/2026 9:44:53,8/20/2020 23:00:16,yadtamar613@gmail.com,https://drive.google.com/file/d/1_hIOnVWIoNl6wnpL13P-u4Cx_4_gHwJK/view?usp=drivesdk
034 רבי ואנטונינוס קיסר ב.mp3,1zCqEFskGWTakHkLXBlMilGJugp4PjSSp,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.946,6/17/2026 9:44:58,8/20/2020 23:00:20,yadtamar613@gmail.com,https://drive.google.com/file/d/1zCqEFskGWTakHkLXBlMilGJugp4PjSSp/view?usp=drivesdk
035 אליהו הנביא ור' יהושע בן לוי.mp3,1lHTiPkHwdHXb9qrU-i74v0pZ9QO4rbok,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,42.529,6/17/2026 9:45:04,8/20/2020 23:00:24,yadtamar613@gmail.com,https://drive.google.com/file/d/1lHTiPkHwdHXb9qrU-i74v0pZ9QO4rbok/view?usp=drivesdk
036 ערכה של תורה א.mp3,1ksj_uLTK-VWNd_i6DhCfE06CtOuy6joI,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,42.405,6/17/2026 9:45:09,8/20/2020 23:00:26,yadtamar613@gmail.com,https://drive.google.com/file/d/1ksj_uLTK-VWNd_i6DhCfE06CtOuy6joI/view?usp=drivesdk
037 ערכה של תורה ב.mp3,18rM5A7bJOUvuYQKDAsHrKbygefTfAoPJ,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.038,6/17/2026 9:45:14,8/20/2020 23:00:28,yadtamar613@gmail.com,https://drive.google.com/file/d/18rM5A7bJOUvuYQKDAsHrKbygefTfAoPJ/view?usp=drivesdk
038 אליהו הנביא הגנן אשתו ו7 שנים טובות.mp3,1-3EoLkbitBI0AE0i0NmQMfWTJ8Cvx03F,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.697,6/17/2026 9:45:20,8/20/2020 23:00:32,yadtamar613@gmail.com,https://drive.google.com/file/d/1-3EoLkbitBI0AE0i0NmQMfWTJ8Cvx03F/view?usp=drivesdk
039 שלמה המלך ושלשת האחים.mp3,1oqP93eE-NFdbI5Ofn2yrdv1L0V74FvmE,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.651,6/17/2026 9:45:25,8/20/2020 23:00:36,yadtamar613@gmail.com,https://drive.google.com/file/d/1oqP93eE-NFdbI5Ofn2yrdv1L0V74FvmE/view?usp=drivesdk
040 שלמה המלך ושלשת הסוחרים.mp3,1Z8kCvAJ4QT538cdKGx0n9Odg1PJGu3kB,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.647,6/17/2026 9:45:30,8/20/2020 23:00:38,yadtamar613@gmail.com,https://drive.google.com/file/d/1Z8kCvAJ4QT538cdKGx0n9Odg1PJGu3kB/view?usp=drivesdk
041 הקצב שעמד בנסיון.mp3,1KDLz2bldO17pmzs7s5rFt4RjvOgpVeSb,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,38.996,6/17/2026 9:45:36,8/20/2020 23:00:42,yadtamar613@gmail.com,https://drive.google.com/file/d/1KDLz2bldO17pmzs7s5rFt4RjvOgpVeSb/view?usp=drivesdk
042 ר' אלעזר ולכידת הגנבים א.mp3,1U2FNSwcFJKxpSLmeVMb1w_G8Wyh9SRry,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.838,6/17/2026 9:45:41,8/20/2020 23:00:46,yadtamar613@gmail.com,https://drive.google.com/file/d/1U2FNSwcFJKxpSLmeVMb1w_G8Wyh9SRry/view?usp=drivesdk
043 רבי אלעזר ולכידת הגנבים ב.mp3,1Izr-cP_IlJD7BzwAygZTyfQaIEXdBgjc,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,39.431,6/17/2026 9:45:46,8/20/2020 23:00:48,yadtamar613@gmail.com,https://drive.google.com/file/d/1Izr-cP_IlJD7BzwAygZTyfQaIEXdBgjc/view?usp=drivesdk
044 חנניה מישאל ועזריה א - בטחון עצמי.mp3,1HX1RkJcnLA6ePSkYy0-M2boaL821VduL,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.498,6/17/2026 9:45:52,8/20/2020 23:00:52,yadtamar613@gmail.com,https://drive.google.com/file/d/1HX1RkJcnLA6ePSkYy0-M2boaL821VduL/view?usp=drivesdk
045 חנניה מישאל ועזריה ב - בטחון עצמי.mp3,1zj3KBKPcBPU7Mjq1LwLCrUhhbVBNvhmi,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,38.426,6/17/2026 9:45:56,8/20/2020 23:00:54,yadtamar613@gmail.com,https://drive.google.com/file/d/1zj3KBKPcBPU7Mjq1LwLCrUhhbVBNvhmi/view?usp=drivesdk
046 דניאל ונבוכדנאצר.mp3,1ZfrBzZi6cb8aJiRiaWPNLFJCjlrSJwI8,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.341,6/17/2026 9:46:02,8/20/2020 23:00:58,yadtamar613@gmail.com,https://drive.google.com/file/d/1ZfrBzZi6cb8aJiRiaWPNLFJCjlrSJwI8/view?usp=drivesdk
047 דניאל בגוב האריות.mp3,1dFDNAD8unXzq7jRJyYYvapzdlHtDUvou,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.883,6/17/2026 9:46:07,8/20/2020 23:01:02,yadtamar613@gmail.com,https://drive.google.com/file/d/1dFDNAD8unXzq7jRJyYYvapzdlHtDUvou/view?usp=drivesdk
048 עונשו וסופו של נבוכדנאצר הרשע.mp3,1lN_nenT7mCr45rbJrLO5QH6BbJWhnCRa,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,38.381,6/17/2026 9:46:12,8/20/2020 23:01:04,yadtamar613@gmail.com,https://drive.google.com/file/d/1lN_nenT7mCr45rbJrLO5QH6BbJWhnCRa/view?usp=drivesdk
049 כוחה של תפילה.mp3,1aehddyiCyFnEARLU9TFAk2MZ5-uTOnLp,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,39.621,6/17/2026 9:46:17,8/20/2020 23:01:08,yadtamar613@gmail.com,https://drive.google.com/file/d/1aehddyiCyFnEARLU9TFAk2MZ5-uTOnLp/view?usp=drivesdk
050 אמת ושקר.mp3,10WO4STAFzBWYbei2SegEh1F9fWNEyKW_,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,42.498,6/17/2026 9:46:23,8/20/2020 23:01:10,yadtamar613@gmail.com,https://drive.google.com/file/d/10WO4STAFzBWYbei2SegEh1F9fWNEyKW_/view?usp=drivesdk
051 שמירת הלשון .mp3,1aF_tUJtwlTh_Q_cBlBKe6_wJFsWQgpXD,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,51.042,6/17/2026 9:46:29,2/13/2022 15:21:02,yadtamar613@gmail.com,https://drive.google.com/file/d/1aF_tUJtwlTh_Q_cBlBKe6_wJFsWQgpXD/view?usp=drivesdk
052 שלום ומחלוקת.mp3,1d_A43yN0vwgCffh6zyaxhC0ElFx-zGZx,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,39.2,6/17/2026 9:46:34,8/20/2020 23:01:16,yadtamar613@gmail.com,https://drive.google.com/file/d/1d_A43yN0vwgCffh6zyaxhC0ElFx-zGZx/view?usp=drivesdk
053 מידת הענוה.mp3,1b9zfozDY95BP9-nKMAF9coQM1edB9xp9,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.81,6/17/2026 9:46:39,8/20/2020 23:01:20,yadtamar613@gmail.com,https://drive.google.com/file/d/1b9zfozDY95BP9-nKMAF9coQM1edB9xp9/view?usp=drivesdk
054 מידת הגאוה.mp3,1u2yigZIFpqwDECM9b3O0mih6TkW0LiFW,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.453,6/17/2026 9:46:45,8/20/2020 23:01:22,yadtamar613@gmail.com,https://drive.google.com/file/d/1u2yigZIFpqwDECM9b3O0mih6TkW0LiFW/view?usp=drivesdk
055 מידת הכעס.mp3,1pxAFu2ZLE6tJPyuZuXn7iWe-wl-vtI_4,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.549,6/17/2026 9:46:50,8/20/2020 23:01:26,yadtamar613@gmail.com,https://drive.google.com/file/d/1pxAFu2ZLE6tJPyuZuXn7iWe-wl-vtI_4/view?usp=drivesdk
056 מדת הרגזנות.mp3,17CvulPmC0rbAtKGoOPlAeAx1xsEkWhCH,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,37.686,6/17/2026 9:46:55,8/20/2020 23:01:28,yadtamar613@gmail.com,https://drive.google.com/file/d/17CvulPmC0rbAtKGoOPlAeAx1xsEkWhCH/view?usp=drivesdk
057 צער הבריות א.mp3,12N4TO2PYkF7pmA2xmxLVdWOF9Xq90Nak,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.994,6/17/2026 9:47:01,8/20/2020 23:01:32,yadtamar613@gmail.com,https://drive.google.com/file/d/12N4TO2PYkF7pmA2xmxLVdWOF9Xq90Nak/view?usp=drivesdk
058 צער הבריות ב.mp3,1PMjNO9z9drJT2XM-6OvUPM_Y1zhvEo3a,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,37.733,6/17/2026 9:47:06,8/20/2020 23:01:34,yadtamar613@gmail.com,https://drive.google.com/file/d/1PMjNO9z9drJT2XM-6OvUPM_Y1zhvEo3a/view?usp=drivesdk
059 כבוד הזולת א.mp3,1e6_kMp6QuaA9TM5j85AFFYwVwPGBgw86,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.214,6/17/2026 9:47:11,8/20/2020 23:01:36,yadtamar613@gmail.com,https://drive.google.com/file/d/1e6_kMp6QuaA9TM5j85AFFYwVwPGBgw86/view?usp=drivesdk
060 כבוד הזולת ב.mp3,1kniyBk1XF-XzJTlXDbSjwDnUmBZ1Sf3B,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,38.196,6/17/2026 9:47:16,8/20/2020 23:01:40,yadtamar613@gmail.com,https://drive.google.com/file/d/1kniyBk1XF-XzJTlXDbSjwDnUmBZ1Sf3B/view?usp=drivesdk
061 ואהבת לרעך כמוך.mp3,1NMA8T3tAwufqBSwdX5kYiltQwkDinw5d,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,43.382,6/17/2026 9:47:22,8/20/2020 23:01:42,yadtamar613@gmail.com,https://drive.google.com/file/d/1NMA8T3tAwufqBSwdX5kYiltQwkDinw5d/view?usp=drivesdk
062 לדון לכף זכות.mp3,1BmVQYFDCS5GQnLECKQQzFGA1N9axLlfn,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.827,6/17/2026 9:47:28,8/20/2020 23:01:46,yadtamar613@gmail.com,https://drive.google.com/file/d/1BmVQYFDCS5GQnLECKQQzFGA1N9axLlfn/view?usp=drivesdk
063 מידת הרחמים ושכרה.mp3,1eWRYvY7_gAs0uSD5zvNnM_wZAbVAqESR,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,43.212,6/17/2026 9:47:33,8/20/2020 23:01:50,yadtamar613@gmail.com,https://drive.google.com/file/d/1eWRYvY7_gAs0uSD5zvNnM_wZAbVAqESR/view?usp=drivesdk
064 צדקה תציל ממות.mp3,1UUIMAVIsrfa-GhqZ0vdAzSK9267YJZqp,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,42.032,6/17/2026 9:47:39,8/20/2020 23:01:54,yadtamar613@gmail.com,https://drive.google.com/file/d/1UUIMAVIsrfa-GhqZ0vdAzSK9267YJZqp/view?usp=drivesdk
065 קנאה בין אחים.mp3,1utf-7dGzapq5XhuUopj39AfOFCwOhu35,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.556,6/17/2026 9:47:44,8/20/2020 23:01:56,yadtamar613@gmail.com,https://drive.google.com/file/d/1utf-7dGzapq5XhuUopj39AfOFCwOhu35/view?usp=drivesdk
066 שלום ומריבות בין אחים.mp3,147aDJaeXkwE2UH0mDy5oBEX0fWx6A9wr,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,54.521,6/17/2026 9:47:50,8/20/2020 23:02:00,yadtamar613@gmail.com,https://drive.google.com/file/d/147aDJaeXkwE2UH0mDy5oBEX0fWx6A9wr/view?usp=drivesdk
067 צער בעלי חיים.mp3,1BZxf9hBioEGTc7Al6-F6Vx2NCu8bvWf-,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,57.712,6/17/2026 9:47:57,8/20/2020 23:02:04,yadtamar613@gmail.com,https://drive.google.com/file/d/1BZxf9hBioEGTc7Al6-F6Vx2NCu8bvWf-/view?usp=drivesdk
068 לשון נקיה.mp3,1eHPEqd4tnPwyzy8Ayss3qhrhY3m46YWS,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.806,6/17/2026 9:48:03,8/20/2020 23:02:08,yadtamar613@gmail.com,https://drive.google.com/file/d/1eHPEqd4tnPwyzy8Ayss3qhrhY3m46YWS/view?usp=drivesdk
069 פה טהור.mp3,1YkW5-UVH7IwU7vKMpHPjxRhM_ZzGoaW8,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.285,6/17/2026 9:48:08,8/20/2020 23:02:10,yadtamar613@gmail.com,https://drive.google.com/file/d/1YkW5-UVH7IwU7vKMpHPjxRhM_ZzGoaW8/view?usp=drivesdk
070 בל תשחית.mp3,12eaJn-vQ8wylKNcbEH7U_1ms8VVp8ogP,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,52.892,6/17/2026 9:48:15,8/20/2020 23:02:16,yadtamar613@gmail.com,https://drive.google.com/file/d/12eaJn-vQ8wylKNcbEH7U_1ms8VVp8ogP/view?usp=drivesdk
071 ונשמרתם מאד לנפשותיכם.mp3,1zCZIlMguV6HXbVJjaPl9uNLnsR29pQ4C,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,43.539,6/17/2026 9:48:20,8/20/2020 23:02:20,yadtamar613@gmail.com,https://drive.google.com/file/d/1zCZIlMguV6HXbVJjaPl9uNLnsR29pQ4C/view?usp=drivesdk
072  מדת הנדיבות.mp3,1tnqhisLuBNZ0kGR7og8_plPpsqGnyLKg,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,43.304,6/17/2026 9:48:26,8/20/2020 23:02:24,yadtamar613@gmail.com,https://drive.google.com/file/d/1tnqhisLuBNZ0kGR7og8_plPpsqGnyLKg/view?usp=drivesdk
073 מדת טהרת הלב.mp3,13knRPDCOFKGCe39TLarZoWYLD_ZZoRGP,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,38.926,6/17/2026 9:48:31,8/20/2020 23:02:26,yadtamar613@gmail.com,https://drive.google.com/file/d/13knRPDCOFKGCe39TLarZoWYLD_ZZoRGP/view?usp=drivesdk
074 דוד המלך ובוסתנאי.mp3,182EcGF0DlZXu8A8CtyTnrw-MZgtP2KSv,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.915,6/17/2026 9:48:36,8/20/2020 23:02:30,yadtamar613@gmail.com,https://drive.google.com/file/d/182EcGF0DlZXu8A8CtyTnrw-MZgtP2KSv/view?usp=drivesdk
075 כסא שלמה המלך.mp3,1Mi35WWY0_Z3VKZuHI4_XDCK34SY56kbM,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,35.05,6/17/2026 9:48:41,8/20/2020 23:02:32,yadtamar613@gmail.com,https://drive.google.com/file/d/1Mi35WWY0_Z3VKZuHI4_XDCK34SY56kbM/view?usp=drivesdk
